00:06.288	ID:7	746	P	193.12	0	6334	157734	2652	1183	0	0	6334	157734	2652	1183	0	0	(radio	2.33%	/	2.33%	tx	1.61%	/	1.61%	listen	0.72%	/	0.72%)
00:11.287	ID:7	1386	P	193.12	1	8103	319790	2652	2143	0	0	1767	162056	0	960	0	0	(radio	1.46%	/	0.58%	tx	0.80%	/	0.00%	listen	0.65%	/	0.58%)
00:16.289	ID:7	2026	P	193.12	2	20484	471222	6132	5111	0	0	12379	151432	3480	2968	0	0	(radio	2.28%	/	3.93%	tx	1.24%	/	2.12%	listen	1.03%	/	1.81%)
00:21.289	ID:7	2666	P	193.12	3	29959	625546	9204	6324	0	0	9473	154324	3072	1213	0	0	(radio	2.36%	/	2.61%	tx	1.40%	/	1.87%	listen	0.96%	/	0.74%)
00:26.290	ID:7	3306	P	193.12	4	41247	778055	12410	7736	0	0	11286	152509	3206	1412	0	0	(radio	2.45%	/	2.81%	tx	1.51%	/	1.95%	listen	0.94%	/	0.86%)
00:31.288	ID:7	3946	P	193.12	5	43671	939414	12410	8696	0	0	2422	161359	0	960	0	0	(radio	2.14%	/	0.58%	tx	1.26%	/	0.00%	listen	0.88%	/	0.58%)
00:36.291	ID:7	4586	P	193.12	6	55113	1091767	15380	10336	0	0	11440	152353	2970	1640	0	0	(radio	2.24%	/	2.81%	tx	1.34%	/	1.81%	listen	0.90%	/	1.00%)
00:41.290	ID:7	5226	P	193.12	7	61373	1249304	15700	11789	0	0	6258	157537	320	1453	0	0	(radio	2.09%	/	1.08%	tx	1.19%	/	0.19%	listen	0.89%	/	0.88%)
00:46.289	ID:7	5866	P	193.12	8	65858	1408603	15700	12939	0	0	4483	159299	0	1150	0	0	(radio	1.94%	/	0.70%	tx	1.06%	/	0.00%	listen	0.87%	/	0.70%)
00:51.289	ID:7	6506	P	193.12	9	68239	1570002	15700	13899	0	0	2379	161399	0	960	0	0	(radio	1.80%	/	0.58%	tx	0.95%	/	0.00%	listen	0.84%	/	0.58%)
00:56.289	ID:7	7146	P	193.12	10	70606	1731416	15700	14859	0	0	2365	161414	0	960	0	0	(radio	1.69%	/	0.58%	tx	0.87%	/	0.00%	listen	0.82%	/	0.58%)
01:01.289	ID:7	7786	P	193.12	11	75040	1890766	15700	16049	0	0	4432	159350	0	1190	0	0	(radio	1.61%	/	0.72%	tx	0.79%	/	0.00%	listen	0.81%	/	0.72%)
01:06.289	ID:7	8426	P	193.12	12	77435	2052152	15700	17009	0	0	2393	161386	0	960	0	0	(radio	1.53%	/	0.58%	tx	0.73%	/	0.00%	listen	0.79%	/	0.58%)
01:11.289	ID:7	9066	P	193.12	13	79819	2213548	15700	18159	0	0	2382	161396	0	1150	0	0	(radio	1.47%	/	0.70%	tx	0.68%	/	0.00%	listen	0.79%	/	0.70%)
01:16.291	ID:7	9706	P	193.12	14	87242	2369907	18774	19167	0	0	7421	156359	3074	1008	0	0	(radio	1.54%	/	2.49%	tx	0.76%	/	1.87%	listen	0.78%	/	0.61%)
01:21.289	ID:7	10346	P	193.12	15	89675	2531255	18774	20127	0	0	2431	161348	0	960	0	0	(radio	1.48%	/	0.58%	tx	0.71%	/	0.00%	listen	0.76%	/	0.58%)
01:26.289	ID:7	10986	P	193.12	16	92061	2692650	18774	21087	0	0	2384	161395	0	960	0	0	(radio	1.43%	/	0.58%	tx	0.67%	/	0.00%	listen	0.75%	/	0.58%)
01:31.289	ID:7	11626	P	193.12	17	94470	2854023	18774	22047	0	0	2407	161373	0	960	0	0	(radio	1.38%	/	0.58%	tx	0.63%	/	0.00%	listen	0.74%	/	0.58%)
01:36.291	ID:7	12266	P	193.12	18	100955	3011348	19094	23403	0	0	6483	157325	320	1356	0	0	(radio	1.36%	/	1.02%	tx	0.61%	/	0.19%	listen	0.75%	/	0.82%)
01:41.291	ID:7	12906	P	193.12	19	114010	3162090	24025	25532	0	0	13053	150742	4931	2129	0	0	(radio	1.51%	/	4.31%	tx	0.73%	/	3.01%	listen	0.77%	/	1.29%)
01:46.291	ID:7	13546	P	193.12	20	123530	3316357	27093	26721	0	0	9518	154267	3068	1189	0	0	(radio	1.56%	/	2.59%	tx	0.78%	/	1.87%	listen	0.77%	/	0.72%)
01:51.290	ID:7	14186	P	193.12	21	125983	3477685	27093	27681	0	0	2451	161328	0	960	0	0	(radio	1.51%	/	0.58%	tx	0.75%	/	0.00%	listen	0.76%	/	0.58%)
01:56.290	ID:7	14826	P	193.12	22	128380	3639069	27093	28641	0	0	2395	161384	0	960	0	0	(radio	1.47%	/	0.58%	tx	0.71%	/	0.00%	listen	0.76%	/	0.58%)
02:01.291	ID:7	15466	P	193.12	23	137907	3793326	30064	29852	0	0	9525	154257	2971	1211	0	0	(radio	1.52%	/	2.55%	tx	0.76%	/	1.81%	listen	0.75%	/	0.73%)
02:06.290	ID:7	16106	P	193.12	24	140393	3954623	30064	30812	0	0	2484	161297	0	960	0	0	(radio	1.48%	/	0.58%	tx	0.73%	/	0.00%	listen	0.75%	/	0.58%)
02:11.290	ID:7	16746	P	193.12	25	142792	4116005	30064	31772	0	0	2397	161382	0	960	0	0	(radio	1.45%	/	0.58%	tx	0.70%	/	0.00%	listen	0.74%	/	0.58%)
02:16.290	ID:7	17386	P	193.12	26	145213	4277367	30064	32732	0	0	2419	161362	0	960	0	0	(radio	1.41%	/	0.58%	tx	0.67%	/	0.00%	listen	0.74%	/	0.58%)
02:21.290	ID:7	18026	P	193.12	27	147617	4438744	30064	33692	0	0	2402	161377	0	960	0	0	(radio	1.39%	/	0.58%	tx	0.65%	/	0.00%	listen	0.73%	/	0.58%)
02:26.290	ID:7	18666	P	193.12	28	152037	4598106	30064	34930	0	0	4418	159362	0	1238	0	0	(radio	1.36%	/	0.75%	tx	0.63%	/	0.00%	listen	0.73%	/	0.75%)
02:31.291	ID:7	19306	P	193.12	29	161550	4752396	33137	36142	0	0	9511	154290	3073	1212	0	0	(radio	1.40%	/	2.61%	tx	0.67%	/	1.87%	listen	0.73%	/	0.73%)
02:36.291	ID:7	19946	P	193.12	30	166924	4910825	33858	37559	0	0	5372	158429	721	1417	0	0	(radio	1.40%	/	1.30%	tx	0.66%	/	0.44%	listen	0.73%	/	0.86%)
02:41.290	ID:7	20586	P	193.12	31	169358	5072172	33858	38519	0	0	2432	161347	0	960	0	0	(radio	1.38%	/	0.58%	tx	0.64%	/	0.00%	listen	0.73%	/	0.58%)
02:46.290	ID:7	21226	P	193.12	32	171779	5233534	33858	39479	0	0	2419	161362	0	960	0	0	(radio	1.35%	/	0.58%	tx	0.62%	/	0.00%	listen	0.73%	/	0.58%)
02:51.290	ID:7	21866	P	193.12	33	174183	5394910	33858	40439	0	0	2402	161376	0	960	0	0	(radio	1.33%	/	0.58%	tx	0.60%	/	0.00%	listen	0.72%	/	0.58%)
02:56.290	ID:7	22506	P	193.12	34	176580	5556294	33858	41399	0	0	2395	161384	0	960	0	0	(radio	1.31%	/	0.58%	tx	0.59%	/	0.00%	listen	0.72%	/	0.58%)
03:01.290	ID:7	23146	P	193.12	35	179001	5717656	33858	42359	0	0	2419	161362	0	960	0	0	(radio	1.29%	/	0.58%	tx	0.57%	/	0.00%	listen	0.71%	/	0.58%)
03:06.290	ID:7	23786	P	193.12	36	181405	5879033	33858	43319	0	0	2402	161377	0	960	0	0	(radio	1.27%	/	0.58%	tx	0.55%	/	0.00%	listen	0.71%	/	0.58%)
03:11.290	ID:7	24426	P	193.12	37	183804	6040415	33858	44279	0	0	2397	161382	0	960	0	0	(radio	1.25%	/	0.58%	tx	0.54%	/	0.00%	listen	0.71%	/	0.58%)
03:16.291	ID:7	25066	P	193.12	38	191062	6196942	36828	45289	0	0	7256	156527	2970	1010	0	0	(radio	1.28%	/	2.43%	tx	0.57%	/	1.81%	listen	0.70%	/	0.61%)
03:21.290	ID:7	25706	P	193.12	39	193515	6358269	36828	46249	0	0	2451	161327	0	960	0	0	(radio	1.26%	/	0.58%	tx	0.56%	/	0.00%	listen	0.70%	/	0.58%)
03:26.290	ID:7	26346	P	193.12	40	195912	6519653	36828	47209	0	0	2395	161384	0	960	0	0	(radio	1.25%	/	0.58%	tx	0.54%	/	0.00%	listen	0.70%	/	0.58%)
03:31.290	ID:7	26986	P	193.12	41	200358	6678990	36828	48399	0	0	4444	159337	0	1190	0	0	(radio	1.23%	/	0.72%	tx	0.53%	/	0.00%	listen	0.70%	/	0.72%)
03:36.290	ID:7	27626	P	193.12	42	202775	6840353	36828	49359	0	0	2415	161363	0	960	0	0	(radio	1.22%	/	0.58%	tx	0.52%	/	0.00%	listen	0.70%	/	0.58%)
03:41.290	ID:7	28266	P	193.12	43	205203	7001706	36828	50319	0	0	2426	161353	0	960	0	0	(radio	1.20%	/	0.58%	tx	0.51%	/	0.00%	listen	0.69%	/	0.58%)
03:46.290	ID:7	28906	P	193.12	44	207624	7163068	36828	51279	0	0	2419	161362	0	960	0	0	(radio	1.19%	/	0.58%	tx	0.49%	/	0.00%	listen	0.69%	/	0.58%)
03:51.290	ID:7	29546	P	193.12	45	210028	7324445	36828	52239	0	0	2402	161377	0	960	0	0	(radio	1.18%	/	0.58%	tx	0.48%	/	0.00%	listen	0.69%	/	0.58%)
03:56.290	ID:7	30186	P	193.12	46	212425	7485829	36828	53199	0	0	2395	161384	0	960	0	0	(radio	1.16%	/	0.58%	tx	0.47%	/	0.00%	listen	0.69%	/	0.58%)
04:01.290	ID:7	30826	P	193.12	47	214846	7647191	36828	54159	0	0	2419	161362	0	960	0	0	(radio	1.15%	/	0.58%	tx	0.46%	/	0.00%	listen	0.68%	/	0.58%)
04:06.290	ID:7	31466	P	193.12	48	217252	7808566	36828	55119	0	0	2404	161375	0	960	0	0	(radio	1.14%	/	0.58%	tx	0.45%	/	0.00%	listen	0.68%	/	0.58%)
04:11.290	ID:7	32106	P	193.12	49	219649	7969950	36828	56079	0	0	2395	161384	0	960	0	0	(radio	1.13%	/	0.58%	tx	0.44%	/	0.00%	listen	0.68%	/	0.58%)
04:16.290	ID:7	32746	P	193.12	50	222070	8131312	36828	57039	0	0	2419	161362	0	960	0	0	(radio	1.12%	/	0.58%	tx	0.44%	/	0.00%	listen	0.68%	/	0.58%)
04:21.291	ID:7	33386	P	193.12	51	231514	8285660	38030	59343	0	0	9442	154348	1202	2304	0	0	(radio	1.14%	/	2.14%	tx	0.44%	/	0.73%	listen	0.69%	/	1.40%)
04:26.292	ID:7	34026	P	193.12	52	244247	8436716	41823	61422	0	0	12730	151056	3793	2079	0	0	(radio	1.18%	/	3.58%	tx	0.48%	/	2.31%	listen	0.70%	/	1.26%)
04:31.350	ID:7	34673	P	193.12	53	256345	8590319	44892	63213	0	0	12096	153603	3069	1791	0	0	(radio	1.22%	/	2.93%	tx	0.50%	/	1.85%	listen	0.71%	/	1.08%)
04:36.317	ID:7	35309	P	193.12	54	276107	8733289	49964	66356	0	0	19760	142970	5072	3143	0	0	(radio	1.29%	/	5.04%	tx	0.55%	/	3.11%	listen	0.73%	/	1.93%)
04:41.308	ID:7	35948	P	193.12	55	303627	8869290	56793	72161	0	0	27517	136001	6829	5805	0	0	(radio	1.40%	/	7.72%	tx	0.61%	/	4.17%	listen	0.78%	/	3.55%)
04:46.316	ID:7	36589	P	193.12	56	343975	8993026	65698	80393	0	0	40346	123736	8905	8232	0	0	(radio	1.56%	/	10.44%	tx	0.70%	/	5.42%	listen	0.86%	/	5.01%)
04:51.296	ID:7	37226	P	193.12	57	370414	9129768	69140	85687	0	0	26436	136742	3442	5294	0	0	(radio	1.62%	/	5.35%	tx	0.72%	/	2.10%	listen	0.90%	/	3.24%)
04:56.292	ID:7	37866	P	193.12	58	410701	9253140	77339	94333	0	0	40285	123372	8199	8646	0	0	(radio	1.77%	/	10.29%	tx	0.80%	/	5.00%	listen	0.97%	/	5.28%)
05:01.317	ID:7	38509	P	193.12	59	440550	9387944	83592	100309	0	0	29847	134804	6253	5976	0	0	(radio	1.87%	/	7.42%	tx	0.85%	/	3.79%	listen	1.02%	/	3.62%)
05:06.297	ID:7	39146	P	193.12	60	469235	9522414	88313	107979	0	0	28682	134470	4721	7670	0	0	(radio	1.96%	/	7.59%	tx	0.88%	/	2.89%	listen	1.08%	/	4.70%)
05:11.297	ID:7	39786	P	193.12	61	502430	9653020	95608	113606	0	0	33193	130606	7295	5627	0	0	(radio	2.06%	/	7.88%	tx	0.94%	/	4.45%	listen	1.11%	/	3.43%)
05:16.294	ID:7	40426	P	193.12	62	537094	9782075	103568	120499	0	0	34662	129055	7960	6893	0	0	(radio	2.17%	/	9.07%	tx	1.00%	/	4.86%	listen	1.16%	/	4.21%)
05:21.292	ID:7	41066	P	193.12	63	546105	9936831	104208	122478	0	0	9009	154756	640	1979	0	0	(radio	2.16%	/	1.59%	tx	0.99%	/	0.39%	listen	1.16%	/	1.20%)
05:26.333	ID:7	41711	P	193.12	64	558428	10089632	107993	124144	0	0	12321	152801	3785	1666	0	0	(radio	2.18%	/	3.30%	tx	1.01%	/	2.29%	listen	1.16%	/	1.00%)
